character,emotion,intensity,head_direction,eyes_direction,screen_mode,body_action,reaction_bool,word,init,final,room
4,1,1,3,1,4,9,FALSE,hi,0.37,0.6,0
4,1,1,3,1,4,9,FALSE,guys,0.61,1.02,0
4,1,0,3,1,4,2,FALSE,Do,1.14,1.33,0
4,1,0,3,1,4,2,FALSE,you,1.34,1.45,0
4,1,0,3,1,4,2,FALSE,want,1.46,1.73,0
4,1,0,3,1,4,2,FALSE,to,1.74,1.87,0
4,1,0,3,1,4,2,FALSE,add,1.94,2.27,0
4,1,0,3,1,4,2,FALSE,mouth,2.39,2.55,0
4,1,0,3,1,4,2,FALSE,synchronization,2.76,3.74,1.5
4,1,0,3,1,4,2,FALSE,to,3.75,3.94,1.5
4,1,0,3,1,4,2,FALSE,spice,3.95,4.4,1.5
4,1,0,3,2,4,2,FALSE,up,4.41,4.62,0
4,1,0,3,2,4,2,FALSE,your,4.63,4.81,0
4,1,0,3,2,4,2,FALSE,animated,4.84,5.41,0
4,1,0,3,2,4,2,FALSE,character,5.52,5.92,0
4,5,0,3,2,4,1,FALSE,well,6.36,6.5,0
4,5,0,3,2,4,1,FALSE,i,6.67,6.87,0
4,5,0,3,2,4,1,FALSE,am,6.88,7.04,0
4,5,0,3,2,4,1,FALSE,just,7.05,7.29,0
4,5,0,3,1,4,1,FALSE,guy,7.36,7.67,0
4,5,0,3,1,4,1,FALSE,For,8.34,8.57,0
4,5,0,3,1,4,1,FALSE,you,8.58,8.93,0
4,1,0,3,1,4,6,FALSE,I,9.02,9.21,0
4,1,0,3,1,4,6,FALSE,shall,9.22,9.33,0
4,1,0,3,1,4,6,FALSE,sync,9.78,10.05,0
4,1,0,3,1,4,6,FALSE,any,10.08,10.35,0
4,1,0,3,3,4,6,FALSE,character,10.36,10.88,0
4,6,0,3,3,4,7,FALSE,I,11.18,11.35,0
4,6,0,3,3,4,7,FALSE,have,11.36,11.55,0
4,6,0,3,3,4,7,FALSE,a,11.56,11.62,0
4,6,0,3,3,4,7,FALSE,few,11.63,11.85,0
4,6,0,3,3,4,7,FALSE,characters,11.9,12.27,0
4,6,0,3,3,4,7,FALSE,to,12.33,12.5,0
4,6,0,3,3,4,7,FALSE,chose,12.51,12.86,0
4,6,0,3,3,4,7,FALSE,from,12.87,13.09,0
4,1,0,3,1,4,4,FALSE,however,13.44,14,0
4,1,0,3,1,4,4,FALSE,you,14.21,14.37,1.5
4,1,0,3,1,4,4,FALSE,are,14.38,14.49,1.5
4,1,0,3,1,4,4,FALSE,welcome,14.5,14.94,1.5
4,1,0,3,1,4,4,FALSE,to,14.97,15.18,0
4,1,0,3,1,4,4,FALSE,offer,15.19,15.55,0
4,1,0,3,1,4,4,FALSE,me,15.57,15.72,0
4,1,0,3,1,4,2,FALSE,your,15.73,15.93,0
4,1,0,3,1,4,2,FALSE,own,15.97,16.22,0
4,1,0,3,1,4,2,FALSE,character,16.23,16.77,0
4,1,0,3,3,4,2,FALSE,and,16.93,17.1,0
4,1,0,3,3,4,2,FALSE,mouth,17.15,17.51,0
4,1,0,3,3,4,2,FALSE,specimen,17.55,18.09,0
4,1,0,3,3,4,3,FALSE,All,18.42,18.61,1.5
4,5,0,3,3,4,3,FALSE,you,18.62,18.83,1.5
4,5,0,3,3,4,3,FALSE,have,18.84,19.07,1.5
4,5,0,3,3,4,3,FALSE,to,19.08,19.2,1.5
4,5,0,3,3,4,3,FALSE,do,19.21,19.47,1.5
4,5,0,3,3,4,3,FALSE,is,19.5,19.69,2
4,5,0,3,3,4,3,FALSE,send,19.7,20.02,2
4,5,0,3,3,4,3,FALSE,me,20.03,20.12,2
4,5,0,3,2,4,3,FALSE,your,20.13,20.32,2
4,5,0,3,2,4,3,FALSE,voice,20.33,20.69,2
4,5,0,3,2,4,3,FALSE,over,20.72,21.04,2
4,5,0,3,2,4,2,FALSE,file,21.05,21.18,2
