character,emotion,intensity,head_direction,eyes_direction,screen_mode,body_action,reaction_bool,word,init,final,room
4,1,2,1,1,1,3,FALSE,i,0.18,0.26,0
4,1,2,1,1,1,3,FALSE,have,0.27,0.45,0
4,1,2,1,1,1,3,FALSE,a,0.51,0.55,0
4,1,2,1,1,1,3,FALSE,good,0.66,0.8,0
4,1,2,1,1,1,3,FALSE,news,0.9,1.12,0
4,1,2,2,1,1,3,FALSE,and,1.5,1.61,0
4,1,2,2,2,1,9,FALSE,a,162,1.72,1.5
4,1,2,2,2,1,9,FALSE,bad,1.78,1.98,1.5
4,1,2,2,2,1,9,FALSE,news,2,2.42,1.5
4,1,1,2,3,1,9,FALSE,pehla,2.9,3.11,0
4,1,1,2,3,1,9,FALSE,kia,3.2,3.3,0
4,1,1,2,3,1,9,FALSE,sunao,3.31,3.65,0
3,6,1,1,1,1,6,TRUE,hmm,4.4,5.28,0
3,3,2,1,2,1,3,FALSE,pehla,5.54,5.8,0
3,3,2,1,2,1,3,FALSE,bad,5.88,6.62,0
3,3,2,1,2,1,3,FALSE,news,6.119,6.403,0
4,2,2,3,2,1,9,FALSE,mehangai,6.513,6.95,0
4,2,2,3,2,1,9,FALSE,bargai,6.99,7.49,0
4,2,2,3,2,1,9,FALSE,ha,7.51,7.78,0
3,4,1,2,1,1,5,TRUE,hmm,8.265,9.17,0
3,7,2,2,2,1,3,FALSE,or,9.65,9.89,0
3,7,2,2,2,1,3,FALSE,good,9.94,10.12,0
3,7,2,2,2,1,3,FALSE,news,10.14,10.76,0
4,7,2,2,3,1,2,FALSE,kal,11.51,11.72,0
4,1,1,2,3,1,2,FALSE,chay,11.76,12.01,1.5
4,1,1,2,3,1,2,FALSE,situmber,12.15,12.7,1.5
4,1,1,2,3,1,2,FALSE,ha,12.71,13.15,1.5
3,4,1,2,1,1,5,TRUE,hmm,13.16,13.5,0
