character,emotion,intensity,head_direction,eyes_direction,screen_mode,body_action,reaction_bool,word,init,final,room
9,1,1,3,2,4,18,FALSE,HI,0.31,0.53,0
9,1,1,3,2,4,18,FALSE,guys,0.54,0.99,0
9,1,0,3,1,4,2,FALSE,i,1.09,1.32,1.5
9,1,0,3,1,4,2,FALSE,think,1.33,1.6,1.5
9,1,0,3,1,4,2,FALSE,i,1.65,1.81,1.5
9,1,0,3,3,4,2,FALSE,can,1.82,2.01,1.5
9,1,0,3,3,4,2,FALSE,make,2.02,2.24,0
9,1,0,3,3,4,2,FALSE,your,2.25,2.39,0
9,1,0,3,3,4,16,FALSE,animation,2.42,2.97,0
9,1,1,3,3,4,16,FALSE,process,2.98,3.54,0
9,1,1,3,2,4,16,FALSE,much,3.58,3.99,0
9,1,1,3,2,4,16,FALSE,faster,4,4.61,0
9,5,0,3,2,4,16,FALSE,by,4.63,4.83,0
9,5,0,3,2,4,10,FALSE,creating,4.84,5.43,0
9,5,0,3,2,4,10,FALSE,your,5.44,5.68,0
9,5,0,3,2,4,10,FALSE,lip,5.69,5.95,1.5
9,4,0,3,2,4,10,FALSE,sync,5.97,6.32,1.5
9,4,0,3,1,4,17,FALSE,i,6.79,6.97,1.5
9,4,0,3,1,4,17,FALSE,know,6.98,7.38,1.5
9,4,0,3,1,4,17,FALSE,its,7.58,7.85,0
9,4,0,3,1,4,17,FALSE,a,7.86,7.95,0
9,4,1,3,1,4,17,FALSE,boring,8.01,8.45,0
9,4,1,3,3,4,17,FALSE,and,8.46,8.65,0
9,4,1,3,3,4,17,FALSE,time,8.69,9,0
9,4,1,3,3,4,17,FALSE,consuming,9.01,9.53,0
9,4,1,3,3,4,17,FALSE,task,9.56,9.9,0
9,1,0,3,2,4,22,FALSE,but,9.99,10.27,1.5
9,1,0,3,2,4,22,FALSE,don't,10.35,10.69,1.5
9,1,0,3,2,4,22,FALSE,you,10.7,10.9,1.5
9,1,0,3,2,4,22,FALSE,worry,10.91,11.44,1.5
9,5,0,3,2,4,4,FALSE,i,11.83,12.03,0
9,5,0,3,2,4,4,FALSE,can,12.04,12.27,0
9,5,0,3,2,4,4,FALSE,do,12.28,12.51,0
9,5,0,3,2,4,4,FALSE,this,12.54,12.86,0
9,5,0,3,2,4,4,FALSE,boring,12.89,13.34,0
9,5,0,3,2,4,4,FALSE,task,13.38,13.71,0
9,5,0,3,2,4,4,FALSE,for,13.73,13.92,0
9,5,0,3,1,4,4,FALSE,you,13.93,14.13,0
9,5,0,3,1,4,7,FALSE,with,14.16,14.38,0
9,5,1,3,1,4,7,FALSE,in,14.39,14.58,1.5
9,5,1,3,1,4,7,FALSE,few,14.59,14.88,1.5
9,5,1,3,3,4,7,FALSE,hours,14.93,15.5,1.5
9,1,0,3,3,4,47,FALSE,all,16.19,16.38,0
9,1,0,3,3,4,47,FALSE,you,16.39,16.55,0
9,1,0,3,3,4,47,FALSE,have,16.56,16.76,0
9,1,0,3,3,4,47,FALSE,to,16.78,16.89,0
9,1,0,3,3,4,47,FALSE,do,16.9,17.14,0
9,1,0,3,2,4,47,FALSE,is,17.15,17.32,0
9,1,0,3,2,4,47,FALSE,send,17.33,17.68,0
9,1,0,3,2,4,4,FALSE,me,17.69,17.84,0
9,1,0,3,2,4,4,FALSE,your,17.85,18.01,0
9,1,0,3,2,4,4,FALSE,script,18.02,18.38,0
9,1,0,3,2,4,4,FALSE,text,18.46,18.87,0
9,1,1,3,2,4,4,FALSE,and,18.95,19.18,0
9,1,1,3,2,4,4,FALSE,voice,19.19,19.56,0
9,1,1,3,2,4,4,FALSE,over,19.62,19.89,0
9,1,1,3,2,4,4,FALSE,audio,19.9,20.25,0
9,1,1,3,2,4,4,FALSE,file,20.26,20.66,0
9,5,0,3,1,4,30,FALSE,then,20.92,21.35,0
9,5,0,3,1,4,30,FALSE,leave,21.46,21.76,0
9,5,0,3,1,4,30,FALSE,the,21.77,21.87,0
9,5,0,3,1,4,30,FALSE,rest,21.88,22.13,1.5
9,5,0,3,1,4,30,FALSE,to,22.14,22.24,1.5
9,1,0,3,2,4,30,FALSE,me,22.25,22.57,1.5
9,1,0,3,2,4,47,FALSE,you,22.92,23.34,0
9,1,0,3,2,4,47,FALSE,will,23.35,23.59,0
9,1,1,3,2,4,47,FALSE,be,23.61,23.83,0
9,1,1,3,2,4,23,FALSE,amazed,23.87,24.49,0
9,1,1,3,2,4,23,FALSE,what,24.87,25.15,0
9,1,1,3,2,4,23,FALSE,can,25.32,25.58,0
9,1,1,3,2,4,23,FALSE,i,25.61,25.76,0
9,1,1,3,3,4,23,FALSE,do,25.77,26.08,0
9,1,1,3,3,4,23,FALSE,in,26.09,26.25,0
9,1,1,3,3,4,3,FALSE,little,26.3,26.64,0
9,1,1,3,3,4,3,FALSE,amount,26.65,27.02,0
9,1,1,3,3,4,3,FALSE,of,27.03,27.13,0
9,6,0,3,2,4,3,FALSE,time,27.21,27.62,0
9,6,0,3,2,4,6,FALSE,so,28.05,28.48,1.5
9,6,0,3,2,4,6,FALSE,what,28.72,28.96,1.5
9,6,0,3,2,4,6,FALSE,are,28.99,29.2,1.5
9,6,1,3,2,4,6,FALSE,you,29.21,29.32,1.5
9,6,1,3,2,4,6,FALSE,waiting,29.33,29.74,1.5
9,6,1,3,2,4,6,FALSE,for,29.75,29.99,0
9,1,1,3,2,4,38,FALSE,Hire,30.34,30.72,0
9,1,1,3,2,4,38,FALSE,me,30.79,30.84,0
