character,emotion,intensity,head_direction,eyes_direction,screen_mode,body_action,reaction_bool,word,init,final,room
10,1,1,3,3,5,1,FALSE,a,0,1.48,0
10,1,0,3,3,5,1,FALSE,a,1.49,2.97,0
10,1,1,3,3,5,1,FALSE,a,2.98,4.46,0
10,5,0,3,3,5,1,FALSE,a,4.47,5.95,0
10,1,1,2,3,5,2,FALSE,a,5.96,7.44,0
10,1,1,3,3,5,2,FALSE,a,7.45,8.93,0
10,5,1,2,2,5,2,FALSE,a,8.94,10.42,0
10,1,0,2,2,5,2,FALSE,a,10.43,11.81,0
10,1,1,3,1,5,2,FALSE,yeah,11.84,13.01,0
10,1,1,3,1,5,2,FALSE,terry,13.07,14.2,0
10,1,1,3,1,5,11,FALSE,its,18.31,18.54,0
10,1,1,3,1,5,11,FALSE,not,18.55,18.82,0
10,1,0,3,1,5,11,FALSE,so,18.83,19.18,0
10,1,0,3,1,5,11,FALSE,scary,19.21,20.56,0
10,1,0,3,1,5,11,FALSE,its,21.27,21.58,0
10,1,0,3,1,5,2,FALSE,just,21.59,21.88,0
10,1,0,3,1,5,2,FALSE,misunderstod,21.91,22.96,0
10,1,0,3,1,5,1,FALSE,its,23.4,23.69,0
10,1,0,3,1,5,1,FALSE,the,23.72,23.86,0
10,1,0,3,1,5,1,FALSE,friendliest,23.88,24.81,0
10,1,0,3,1,5,1,FALSE,shark,24.88,25.35,0
10,1,0,3,2,5,2,FALSE,in,25.81,26.03,0
