character,emotion,intensity,head_direction,eyes_direction,screen_mode,body_action,reaction_bool,word,init,final,room
10,1,1,3,1,5,2,FALSE,yeah,46.63,46.74,0
10,1,1,3,1,5,2,FALSE,terry,46.91,47.21,0
10,1,1,3,1,5,11,FALSE,its,47.65,47.91,0
10,1,1,3,1,5,11,FALSE,not,47.92,48.46,0
10,1,0,3,1,5,11,FALSE,so,48.54,48.91,0
10,1,0,3,1,5,11,FALSE,scary,48.96,49.7,0
10,1,0,3,1,5,11,FALSE,its,49.889999,49.919999,0
10,1,0,3,1,5,2,FALSE,just,49.92,49.96,0
10,1,0,3,1,5,2,FALSE,misunderstod,49.96,50.34,0
10,1,0,3,1,5,1,FALSE,its,52.389999,52.419999,0
10,1,0,3,1,5,1,FALSE,the,52.469999,52.679999,0
10,1,0,3,1,5,1,FALSE,friendliest,52.779999,53.629999,0
10,1,0,3,1,5,1,FALSE,shark,53.73,54.09,0
10,1,0,3,2,5,2,FALSE,in,54.65,54.89,0
10,1,0,3,2,5,2,FALSE,nieghbourbood,54.889999,55.129999,0
