character,emotion,intensity,head_direction,eyes_direction,screen_mode,body_action,reaction_bool,word,init,final,room
,,,,,,,,hi,0.57,0.7999999999999999,
,,,,,,,,guys,0.8,1.27,
,,,,,,,,I'm,1.33,1.6600000000000001,
,,,,,,,,kamal,1.66,2.1399999999999997,
,,,,,,,,and,2.2,2.4200000000000004,
,,,,,,,,I,2.46,2.7,
,,,,,,,,love,2.7,3.02,
,,,,,,,,automation,3.05,3.82,
,,,,,,,,Have,4.42,4.62,
,,,,,,,,you,4.62,4.72,
,,,,,,,,ever,4.76,5.05,
,,,,,,,,thought,5.07,5.38,
,,,,,,,,of,5.38,5.5,
,,,,,,,,making,5.51,5.92,
,,,,,,,,your,5.92,6.16,
,,,,,,,,own,6.2,6.49,
,,,,,,,,animation,6.54,7.13,
,,,,,,,,show,7.13,7.46,
,,,,,,,,well,7.98,8.26,
,,,,,,,,I,8.32,8.63,
,,,,,,,,did,8.639999,9.119999,
,,,,,,,,but,9.469999,9.879999,
,,,,,,,,I,10.01,10.19,
,,,,,,,,don't,10.19,10.469999999999999,
,,,,,,,,know,10.48,10.74,
,,,,,,,,the,10.75,10.77,
,,,,,,,,first,10.78,11.04,
,,,,,,,,thing,11.05,11.260000000000002,
,,,,,,,,about,11.27,11.559999999999999,
,,,,,,,,animation,11.74,12.24,
,,,,,,,,So,12.75,13.27,
,,,,,,,,I,13.45,13.629999999999999,
,,,,,,,,start,13.63,14.020000000000001,
,,,,,,,,to,14.03,14.049999999999999,
,,,,,,,,learn,14.049999,14.299999,
,,,,,,,,how,14.46,14.690000000000001,
,,,,,,,,to,14.719999,14.859999,
,,,,,,,,draw,14.9,15.39,
,,,,,,,,and,15.46,15.71,
,,,,,,,,learn,15.71,16.0,
,,,,,,,,about,16.02,16.349999999999998,
,,,,,,,,animation,16.549999,17.069999,
,,,,,,,,It,17.5,17.79,
,,,,,,,,was,17.789999,17.999999000000003,
,,,,,,,,hard,18.01,18.380000000000003,
,,,,,,,,at,18.379999,18.539999,
,,,,,,,,first,18.65,18.97,
,,,,,,,,but,18.99,19.2,
,,,,,,,,I,19.2,19.43,
,,,,,,,,got,19.45,19.71,
,,,,,,,,the,19.72,19.849999999999998,
,,,,,,,,hang,19.85,20.16,
,,,,,,,,of,20.16,20.34,
,,,,,,,,it,20.34,20.52,
,,,,,,,,after,20.56,20.939999999999998,
,,,,,,,,a,20.94,21.01,
,,,,,,,,while,21.009999999999998,21.369999999999997,
,,,,,,,,but,21.8,22.29,
,,,,,,,,it,22.48,22.68,
,,,,,,,,took,22.740000000000002,22.98,
,,,,,,,,a,23.02,23.12,
,,,,,,,,lot,23.12,23.35,
,,,,,,,,of,23.35,23.51,
,,,,,,,,time,23.54,23.919999999999998,
,,,,,,,,creating,23.97,24.43,
,,,,,,,,one,24.43,24.68,
,,,,,,,,minute,24.68,24.99,
,,,,,,,,of,25.02,25.3,
,,,,,,,,mouth,25.36,25.78,
,,,,,,,,movement,25.85,26.43,
,,,,,,,,takes,26.439999999999998,26.759999999999998,
,,,,,,,,me,26.809998999999998,27.009998999999997,
,,,,,,,,around,27.02,27.38,
,,,,,,,,one,27.389999,27.649999,
,,,,,,,,hour,27.65,27.72,
,,,,,,,,work,27.719999,27.749999000000003,
,,,,,,,,it,27.75,27.77,
,,,,,,,,was,28.91,29.169999999999998,
,,,,,,,,fun,29.18,29.58,
,,,,,,,,at,,,
,,,,,,,,the,29.8,29.900000000000002,
,,,,,,,,beginning,29.9,30.57,
,,,,,,,,but,30.65,30.86,
,,,,,,,,I,30.880000000000003,31.12,
,,,,,,,,got,31.130000000000003,31.310000000000002,
,,,,,,,,bored,31.349999,31.759999,
,,,,,,,,doing,31.78,32.1,
,,,,,,,,it,32.11,32.3,
,,,,,,,,Because,32.769999999999996,33.099999999999994,
,,,,,,,,it,33.12,33.37,
,,,,,,,,was,33.37,33.529999999999994,
,,,,,,,,a,33.53,33.54,
,,,,,,,,repeating,33.67,34.17,
,,,,,,,,process,34.17,34.72,
,,,,,,,,and,34.739999999999995,34.989999999999995,
,,,,,,,,I,35.0,35.29,
,,,,,,,,hate,35.299999,35.629999,
,,,,,,,,repeating,35.690000999999995,36.090000999999994,
,,,,,,,,processes,36.090000999999994,36.790001,
,,,,,,,,so,37.24,37.7,
,,,,,,,,I,38.0,38.17,
,,,,,,,,started,38.17,38.53,
,,,,,,,,looking,38.53,38.83,
,,,,,,,,for,38.83,39.059999999999995,
,,,,,,,,a,39.09,39.2,
,,,,,,,,way,39.2,39.45,
,,,,,,,,to,39.45,39.61,
,,,,,,,,automate,39.64,40.13,
,,,,,,,,the,40.17,40.260000000000005,
,,,,,,,,process,40.26,40.86,
,,,,,,,,so,41.6,41.980000000000004,
,,,,,,,,I,42.01,42.239999999999995,
,,,,,,,,start,42.25,42.64,
,,,,,,,,watching,42.67,43.14,
,,,,,,,,other,43.18,43.43,
,,,,,,,,not,43.43,43.7,
,,,,,,,,so,43.7,43.88,
,,,,,,,,cool,43.88,44.2,
,,,,,,,,animation,44.24,45.07,
,,,,,,,,videos,45.08,45.48,
,,,,,,,,on,45.519999999999996,45.72,
,,,,,,,,a,45.719999,45.779999000000004,
,,,,,,,,different,45.78,46.21,
,,,,,,,,channel,46.21,46.45,
,,,,,,,,I,47.08,47.19,
,,,,,,,,realize,47.19,47.699999999999996,
,,,,,,,,some,47.719999,47.939999,
,,,,,,,,of,47.94,48.059999999999995,
,,,,,,,,the,48.07,48.18,
,,,,,,,,processes,48.179999,48.969999,
,,,,,,,,are,49.009999,49.299999,
,,,,,,,,repeating,49.299999,49.919999,
,,,,,,,,for,50.07,50.27,
,,,,,,,,example,50.269999999999996,50.949999999999996,
,,,,,,,,mouth,50.96,51.27,
,,,,,,,,movement,51.309999,51.819998999999996,
,,,,,,,,eyes,51.849999,52.339999,
,,,,,,,,and,52.369999,52.569999,
,,,,,,,,emotion,52.59,53.230000000000004,
,,,,,,,,I,54.0,54.11,
,,,,,,,,thought,54.109999,54.339999,
,,,,,,,,I,54.34,54.43000000000001,
,,,,,,,,can,54.43,54.67,
,,,,,,,,automate,54.71,55.11,
,,,,,,,,this,55.16,55.339999999999996,
,,,,,,,,process,55.34,55.790000000000006,
,,,,,,,,with,56.38,56.5,
,,,,,,,,the,56.51,56.629999999999995,
,,,,,,,,help,56.63,56.88,
,,,,,,,,of,56.88,57.07,
,,,,,,,,carykh,57.08,57.75,
,,,,,,,,ideas,57.79,58.31,
,,,,,,,,and,58.31,58.510000000000005,
,,,,,,,,its,58.51,58.75,
,,,,,,,,channel,58.75,59.21,
,,,,,,,,the,60.019999999999996,60.309999999999995,
,,,,,,,,dream,60.32,60.55,
,,,,,,,,become,60.55,60.849999999999994,
,,,,,,,,reality,60.85,61.45,
,,,,,,,,I,61.980000000000004,62.230000000000004,
,,,,,,,,made,62.269999999999996,62.55,
,,,,,,,,this,62.55,62.709999999999994,
,,,,,,,,software,62.71,63.26,
,,,,,,,,in,64.08,64.27,
,,,,,,,,it,64.27,64.39,
,,,,,,,,you,64.429999,64.569999,
,,,,,,,,don't,64.57,64.83,
,,,,,,,,have,64.83,65.03999999999999,
,,,,,,,,to,65.03999999999999,65.16,
,,,,,,,,worry,65.17,65.48,
,,,,,,,,about,65.48,65.86,
,,,,,,,,any,65.94,66.3,
,,,,,,,,animation,66.32,66.97999999999999,
,,,,,,,,drawing,66.99,67.64999999999999,
,,,,,,,,all,67.78,68.02,
,,,,,,,,you,68.02,68.17999999999999,
,,,,,,,,have,68.179999,68.33999899999999,
,,,,,,,,to,68.34,68.47,
,,,,,,,,do,68.469999,68.749999,
,,,,,,,,is,68.759999,68.99999899999999,
,,,,,,,,provide,69.009999,69.52999899999999,
,,,,,,,,the,69.53999999999999,69.61999999999999,
,,,,,,,,information,69.62,70.45,
,,,,,,,,in,70.469999,70.629999,
,,,,,,,,a,70.629999,70.69999899999999,
,,,,,,,,CSV,70.69999899999999,71.18999899999999,
,,,,,,,,file,71.19999899999999,71.629999,
,,,,,,,,and,71.9,72.05000000000001,
