character,emotion,intensity,head_direction,eyes_direction,screen_mode,body_action,reaction_bool,word,init,final,room
5,6,1,3,2,4,3,FALSE,If,0.27,0.42,0
5,6,1,3,2,4,3,FALSE,Earth,0.5,0.74,0
5,6,1,3,2,4,3,FALSE,is,0.77,0.96,0
5,6,1,3,2,4,3,FALSE,the,0.97,1,0
5,6,1,3,2,4,3,FALSE,third,1.03,1.34,0
5,6,1,3,1,4,3,FALSE,planet,1.35,1.67,0
5,6,1,3,1,4,3,FALSE,from,1.68,1.81,0
5,6,1,3,1,4,3,FALSE,the,1.82,1.92,0
5,6,1,3,1,4,3,FALSE,sun,1.93,2.31,0
5,6,1,3,1,4,2,FALSE,doesn't,2.84,3.14,0
5,6,2,3,1,4,2,FALSE,that,3.15,3.3,0
5,6,2,3,3,4,2,FALSE,mean,3.31,3.49,0
5,6,2,3,2,4,2,FALSE,that,3.5,3.63,0
5,6,2,3,2,4,2,FALSE,every,3.66,3.96,1.5
5,6,2,3,2,4,2,FALSE,country,3.97,4.41,1.5
5,6,2,3,2,4,2,FALSE,is,4.42,4.54,1.5
5,6,2,3,3,4,3,FALSE,a,4.55,4.61,1.5
5,6,2,3,3,4,3,FALSE,third,4.62,4.97,1.5
5,6,2,3,3,4,3,FALSE,world,4.98,5.29,1.5
5,6,2,3,3,4,3,FALSE,country,5.3,5.79,1.5
9,3,2,1,1,4,13,FALSE,be,8.13,8.15,0
9,3,2,1,1,4,13,FALSE,quiet,8.16,8.2,0
5,1,1,3,2,4,6,FALSE,Light,9.18,9.46,0
5,1,1,3,2,4,6,FALSE,bulbs,9.47,9.81,0
5,1,1,3,2,4,6,FALSE,were,9.82,9.95,0
5,1,1,3,2,4,6,FALSE,such,9.96,10.27,0
5,1,1,3,2,4,20,FALSE,a,10.28,10.32,0
5,1,1,3,3,4,20,FALSE,good,10.33,10.54,0
5,1,1,3,3,4,20,FALSE,idea,10.55,11.07,0
5,1,2,3,3,4,6,FALSE,They,11.41,11.59,0
5,1,2,3,3,4,6,FALSE,became,11.6,11.99,0
5,1,2,3,2,4,6,FALSE,the,12,12.1,0
5,1,2,3,2,4,3,FALSE,symbol,12.11,12.53,0
5,1,2,3,3,4,3,FALSE,for,12.54,12.74,0
5,1,2,3,3,4,3,FALSE,a,12.75,12.82,0
5,1,2,3,3,4,3,FALSE,good,12.83,13.04,1.5
5,1,2,3,3,4,3,FALSE,idea,13.05,13.48,1.5
9,3,1,3,1,4,13,FALSE,You,13.5,13.72,0
9,3,1,3,1,4,13,FALSE,see,13.8,14,0
9,3,1,3,1,4,13,FALSE,what,14.1,14.2,0
9,3,1,3,1,4,13,FALSE,he,14.22,14.4,0
9,3,2,3,2,4,13,FALSE,did,14.41,14.5,0
9,3,2,3,2,4,18,FALSE,to,14.61,14.51,1.5
9,3,2,3,2,4,18,FALSE,geff,14.6,15,1.5
9,3,1,3,2,4,18,FALSE,He's,15.04,15.13,1.5
9,3,1,3,2,4,18,FALSE,having,15.16,15.39,1.5
9,3,1,3,3,4,18,FALSE,a,15.4,15.52,1.5
9,3,1,3,3,4,40,FALSE,mental,15.56,15.87,1.5
9,3,1,3,3,4,40,FALSE,breakdown,15.88,16.5,0
9,3,1,3,3,4,40,FALSE,because,16.52,16.81,0
9,3,1,3,2,4,47,FALSE,o,16.82,16.92,0
9,3,1,3,2,4,47,FALSE,you,16.93,17.28,0
5,6,1,3,1,4,7,FALSE,bro,17.33,17.99,0
5,6,1,3,1,4,7,FALSE,lawyers,18.35,18.89,0
5,6,1,3,1,4,7,FALSE,hope,18.9,19.16,0
5,6,1,3,1,4,7,FALSE,you,19.17,19.27,0
5,6,1,3,2,4,7,FALSE,get,19.28,19.48,0
5,6,1,3,2,4,2,FALSE,sued,19.52,19.96,0
5,6,1,3,2,4,2,FALSE,Doctors,20.42,20.98,0
5,6,1,3,2,4,2,FALSE,hope,20.99,21.22,0
5,6,1,3,2,4,2,FALSE,you,21.23,21.33,0
5,6,1,3,2,4,2,FALSE,get,21.34,21.53,0
5,6,1,3,2,4,2,FALSE,sick,21.54,21.89,0
5,6,1,3,3,4,3,FALSE,cops,22.37,22.75,0
5,6,1,3,3,4,3,FALSE,Hope,22.78,23.08,0
5,6,1,3,3,4,3,FALSE,you're,23.09,23.11,0
5,6,1,3,3,4,3,FALSE,a,23.28,23.29,0
