frame,character,emotion,phonem,blinking_choice,eyes_emotion_choice,intensity,eyes_position,mouth_image_path,pause,word,head_direction,screen_mode,background_type,background_name,body_action,body_path,reaction_bool,reaction,zoom
0,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,,False,spoked,1.5
1,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,,False,spoked,1.5
2,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,,False,spoked,1.5
3,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,,False,spoked,1.5
4,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,,False,spoked,1.5
5,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,,False,spoked,1.5
6,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,,False,spoked,1.5
7,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,,False,spoked,1.5
8,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,,False,spoked,1.5
9,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,,False,spoked,1.5
10,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,,False,spoked,1.5
11,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,,False,spoked,1.5
12,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,,False,spoked,1.5
13,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,,False,spoked,1.5
14,9,glare,HH,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,hi,L,plain,plain,wall,technical,,False,glare,1.5
15,9,glare,HH,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,hi,L,plain,plain,wall,technical,,False,glare,1.5
16,9,glare,HH,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,hi,L,plain,plain,wall,technical,,False,glare,1.5
17,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,hi,L,plain,plain,wall,technical,,False,glare,1.5
18,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,hi,L,plain,plain,wall,technical,,False,glare,1.5
19,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,hi,L,plain,plain,wall,technical,,False,glare,1.5
20,9,glare,G,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,guys,L,plain,plain,wall,technical,,False,glare,1.5
21,9,glare,G,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,guys,L,plain,plain,wall,technical,,False,glare,1.5
22,9,glare,G,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,guys,L,plain,plain,wall,technical,,False,glare,1.5
23,9,glare,G,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,guys,L,plain,plain,wall,technical,,False,glare,1.5
24,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,guys,L,plain,plain,wall,technical,,False,glare,1.5
25,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,guys,L,plain,plain,wall,technical,,False,glare,1.5
26,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,guys,L,plain,plain,wall,technical,,False,glare,1.5
27,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,guys,L,plain,plain,wall,technical,,False,glare,1.5
28,9,glare,Z,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,guys,L,plain,plain,wall,technical,,False,glare,1.5
29,9,glare,Z,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,guys,L,plain,plain,wall,technical,,False,glare,1.5
30,9,glare,Z,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,guys,L,plain,plain,wall,technical,,False,glare,1.5
31,9,sad,,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,L,plain,plain,wall,technical,,False,glare,1.5
32,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I'm,L,plain,plain,wall,technical,,False,glare,1.5
33,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I'm,L,plain,plain,wall,technical,,False,glare,1.5
34,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I'm,L,plain,plain,wall,technical,,False,glare,1.5
35,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I'm,L,plain,plain,wall,technical,,False,glare,1.5
36,9,glare,M,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,False,I'm,L,plain,plain,wall,technical,,False,glare,1.5
37,9,glare,M,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,False,I'm,L,plain,plain,wall,technical,,False,glare,1.5
38,9,glare,M,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,False,I'm,L,plain,plain,wall,technical,,False,glare,1.5
39,9,glare,M,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,False,I'm,L,plain,plain,wall,technical,,False,glare,1.5
40,9,glare,K,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,kamal,L,plain,plain,wall,technical,,False,glare,1.5
41,9,glare,K,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,kamal,L,plain,plain,wall,technical,,False,glare,1.5
42,9,glare,K,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,kamal,L,plain,plain,wall,technical,,False,glare,1.5
43,9,glare,EY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,kamal,L,plain,plain,wall,technical,,False,glare,1.5
44,9,glare,EY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,kamal,L,plain,plain,wall,technical,,False,glare,1.5
45,9,glare,EY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,kamal,L,plain,plain,wall,technical,,False,glare,1.5
46,9,glare,M,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,False,kamal,L,plain,plain,wall,technical,,False,glare,1.5
47,9,glare,M,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,False,kamal,L,plain,plain,wall,technical,,False,glare,1.5
48,9,glare,AH0,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,kamal,L,plain,plain,wall,technical,,False,glare,1.5
49,9,glare,AH0,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,kamal,L,plain,plain,wall,technical,,False,glare,1.5
50,9,glare,L,not_blinking,glare,True,R,./images/mouth/character_9/sad/l_s.png,False,kamal,L,plain,plain,wall,technical,,False,glare,1.5
51,9,glare,L,not_blinking,glare,True,R,./images/mouth/character_9/sad/l_s.png,False,kamal,L,plain,plain,wall,technical,,False,glare,1.5
52,9,sad,,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,L,plain,plain,wall,technical,,False,glare,1.5
53,9,glare,AH0,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,and,L,plain,plain,wall,technical,,False,glare,1.5
54,9,glare,AH0,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,and,L,plain,plain,wall,technical,,False,glare,1.5
55,9,glare,N,not_blinking,glare,True,R,./images/mouth/character_9/sad/th_s.png,False,and,L,plain,plain,wall,technical,,False,glare,1.5
56,9,glare,N,not_blinking,glare,True,R,./images/mouth/character_9/sad/th_s.png,False,and,L,plain,plain,wall,technical,,False,glare,1.5
57,9,glare,D,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,and,L,plain,plain,wall,technical,,False,glare,1.5
58,9,glare,D,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,and,L,plain,plain,wall,technical,,False,glare,1.5
59,9,sad,,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,L,plain,plain,wall,technical,,False,glare,1.5
60,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I,L,plain,plain,wall,technical,,False,glare,1.5
61,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I,L,plain,plain,wall,technical,,False,glare,1.5
62,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I,L,plain,plain,wall,technical,,False,glare,1.5
63,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I,L,plain,plain,wall,technical,,False,glare,1.5
64,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I,L,plain,plain,wall,technical,,False,glare,1.5
65,9,glare,L,not_blinking,glare,True,M,./images/mouth/character_9/sad/l_s.png,False,love,L,plain,plain,wall,technical,,False,glare,1.5
66,9,glare,L,not_blinking,glare,True,M,./images/mouth/character_9/sad/l_s.png,False,love,L,plain,plain,wall,technical,,False,glare,1.5
67,9,glare,L,not_blinking,glare,True,M,./images/mouth/character_9/sad/l_s.png,False,love,L,plain,plain,wall,technical,,False,glare,1.5
68,9,glare,AH1,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,love,L,plain,plain,wall,technical,,False,glare,1.5
69,9,glare,AH1,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,love,L,plain,plain,wall,technical,,False,glare,1.5
70,9,glare,AH1,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,love,L,plain,plain,wall,technical,,False,glare,1.5
71,9,glare,V,not_blinking,glare,True,M,./images/mouth/character_9/sad/f_s.png,False,love,L,plain,plain,wall,technical,,False,glare,1.5
72,9,glare,V,not_blinking,glare,True,M,./images/mouth/character_9/sad/f_s.png,False,love,L,plain,plain,wall,technical,,False,glare,1.5
73,9,sad,,not_blinking,glare,True,M,./images/mouth/character_9/sad/m_b_close_s.png,True,,L,plain,plain,wall,technical,,False,glare,1.5
74,9,glare,AO0,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
75,9,glare,AO0,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
76,9,glare,AO0,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
77,9,glare,T,not_blinking,glare,True,M,./images/mouth/character_9/sad/th_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
78,9,glare,T,not_blinking,glare,True,M,./images/mouth/character_9/sad/th_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
79,9,glare,T,not_blinking,glare,True,M,./images/mouth/character_9/sad/th_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
80,9,glare,AH0,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
81,9,glare,AH0,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
82,9,glare,M,not_blinking,glare,True,M,./images/mouth/character_9/sad/m_b_close_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
83,9,glare,M,not_blinking,glare,True,M,./images/mouth/character_9/sad/m_b_close_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
84,9,glare,EY1,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
85,9,glare,EY1,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
86,9,glare,SH,not_blinking,glare,True,M,./images/mouth/character_9/sad/d_j_ch_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
87,9,glare,SH,not_blinking,glare,True,M,./images/mouth/character_9/sad/d_j_ch_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
88,9,glare,N,not_blinking,glare,True,M,./images/mouth/character_9/sad/th_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
89,9,glare,N,not_blinking,glare,True,M,./images/mouth/character_9/sad/th_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
90,9,sad,,not_blinking,glare,True,M,./images/mouth/character_9/sad/m_b_close_s.png,True,,L,plain,plain,wall,technical,,False,glare,1.5
91,9,glare,AO0,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
92,9,glare,AO0,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
93,9,glare,AO0,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
94,9,glare,T,not_blinking,glare,True,M,./images/mouth/character_9/sad/th_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
95,9,glare,T,not_blinking,glare,True,M,./images/mouth/character_9/sad/th_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
96,9,glare,T,not_blinking,glare,True,M,./images/mouth/character_9/sad/th_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
97,9,glare,AH0,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
98,9,glare,AH0,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
99,9,glare,M,not_blinking,glare,True,M,./images/mouth/character_9/sad/m_b_close_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
100,9,glare,M,not_blinking,glare,True,M,./images/mouth/character_9/sad/m_b_close_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
101,9,glare,EY1,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
102,9,glare,EY1,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
103,9,glare,SH,not_blinking,glare,True,M,./images/mouth/character_9/sad/d_j_ch_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
104,9,glare,SH,not_blinking,glare,True,M,./images/mouth/character_9/sad/d_j_ch_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
105,9,glare,N,not_blinking,glare,True,M,./images/mouth/character_9/sad/th_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
106,9,glare,N,not_blinking,glare,True,M,./images/mouth/character_9/sad/th_s.png,False,automation,L,plain,plain,wall,technical,,False,glare,1.5
107,9,glare,HH,not_blinking,glare,True,M,./images/mouth/character_9/sad/d_j_ch_s.png,False,Have,L,plain,plain,wall,explain,,False,glare,1.5
108,9,glare,HH,not_blinking,glare,True,M,./images/mouth/character_9/sad/d_j_ch_s.png,False,Have,L,plain,plain,wall,explain,,False,glare,1.5
109,9,glare,AE1,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,Have,L,plain,plain,wall,explain,,False,glare,1.5
110,9,glare,V,not_blinking,glare,True,M,./images/mouth/character_9/sad/f_s.png,False,Have,L,plain,plain,wall,explain,,False,glare,1.5
111,9,glare,Y,not_blinking,glare,True,M,./images/mouth/character_9/sad/o_small_s.png,False,you,L,plain,plain,wall,explain,,False,glare,1.5
112,9,glare,Y,not_blinking,glare,True,M,./images/mouth/character_9/sad/o_small_s.png,False,you,L,plain,plain,wall,explain,,False,glare,1.5
113,9,glare,UW1,not_blinking,glare,True,M,./images/mouth/character_9/sad/o_small_s.png,False,you,L,plain,plain,wall,explain,,False,glare,1.5
114,9,sad,,not_blinking,glare,True,M,./images/mouth/character_9/sad/m_b_close_s.png,True,,L,plain,plain,wall,explain,,False,glare,1.5
115,9,glare,EH1,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,ever,L,plain,plain,wall,explain,,False,glare,1.5
116,9,glare,EH1,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,ever,L,plain,plain,wall,explain,,False,glare,1.5
117,9,glare,EH1,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,ever,L,plain,plain,wall,explain,,False,glare,1.5
118,9,glare,V,not_blinking,glare,True,M,./images/mouth/character_9/sad/f_s.png,False,ever,L,plain,plain,wall,explain,,False,glare,1.5
119,9,glare,V,not_blinking,glare,True,M,./images/mouth/character_9/sad/f_s.png,False,ever,L,plain,plain,wall,explain,,False,glare,1.5
120,9,glare,ER0,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,ever,L,plain,plain,wall,explain,,False,glare,1.5
121,9,glare,ER0,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,ever,L,plain,plain,wall,explain,,False,glare,1.5
122,9,happy,TH,not_blinking,happy,True,M,./images/mouth/character_9/happy/th_h.png,False,thought,M,plain,plain,wall,explain,,False,happy,1.5
123,9,happy,TH,not_blinking,happy,True,M,./images/mouth/character_9/happy/th_h.png,False,thought,M,plain,plain,wall,explain,,False,happy,1.5
124,9,happy,TH,not_blinking,happy,True,M,./images/mouth/character_9/happy/th_h.png,False,thought,M,plain,plain,wall,explain,,False,happy,1.5
125,9,happy,AO1,not_blinking,happy,True,M,./images/mouth/character_9/happy/a_e_h.png,False,thought,M,plain,plain,wall,explain,,False,happy,1.5
126,9,happy,AO1,not_blinking,happy,True,M,./images/mouth/character_9/happy/a_e_h.png,False,thought,M,plain,plain,wall,explain,,False,happy,1.5
127,9,happy,AO1,not_blinking,happy,True,M,./images/mouth/character_9/happy/a_e_h.png,False,thought,M,plain,plain,wall,explain,,False,happy,1.5
128,9,happy,T,not_blinking,happy,True,M,./images/mouth/character_9/happy/th_h.png,False,thought,M,plain,plain,wall,explain,,False,happy,1.5
129,9,happy,T,not_blinking,happy,True,M,./images/mouth/character_9/happy/th_h.png,False,thought,M,plain,plain,wall,explain,,False,happy,1.5
130,9,happy,AH1,not_blinking,happy,True,M,./images/mouth/character_9/happy/a_e_h.png,False,of,M,plain,plain,wall,explain,,False,happy,1.5
131,9,happy,V,not_blinking,happy,True,M,./images/mouth/character_9/happy/f_h.png,False,of,M,plain,plain,wall,explain,,False,happy,1.5
132,9,happy,,not_blinking,happy,True,M,./images/mouth/character_9/happy/m_b_close_h.png,True,,M,plain,plain,wall,explain,,False,happy,1.5
133,9,happy,M,not_blinking,happy,True,M,./images/mouth/character_9/happy/m_b_close_h.png,False,making,M,plain,plain,wall,explain,,False,happy,1.5
134,9,happy,M,not_blinking,happy,True,M,./images/mouth/character_9/happy/m_b_close_h.png,False,making,M,plain,plain,wall,explain,,False,happy,1.5
135,9,happy,EY1,not_blinking,happy,True,M,./images/mouth/character_9/happy/a_e_h.png,False,making,M,plain,plain,wall,explain,,False,happy,1.5
