,frame,character,emotion,phonem,blinking_choice,eyes_emotion_choice,intensity,eyes_position,mouth_image_path,pause,word,head_direction,screen_mode,background_type,background_name,body_action,body_path,reaction_bool,reaction,zoom,eye_path,head_rotation,head_path,background_path,key
0,0,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,./images/body/character_9/me/body1.png,False,spoked,1.5,./images/eyes/character_9/side_eyes/spoked_2/spoked_2_R.png,0,./images/head/character_9/R.png,./images/background/plain/character_9/wall.png,9sadnanspoked_2_RTrueRRplainplainwallmebody10m_b_close_s1.5
1,1,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,./images/body/character_9/me/body1.png,False,spoked,1.5,./images/eyes/character_9/side_eyes/spoked_2/spoked_2_R.png,0,./images/head/character_9/R.png,./images/background/plain/character_9/wall.png,9sadnanspoked_2_RTrueRRplainplainwallmebody10m_b_close_s1.5
2,2,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,./images/body/character_9/me/body1.png,False,spoked,1.5,./images/eyes/character_9/side_eyes/spoked_2/spoked_2_R.png,0,./images/head/character_9/R.png,./images/background/plain/character_9/wall.png,9sadnanspoked_2_RTrueRRplainplainwallmebody10m_b_close_s1.5
3,3,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,./images/body/character_9/me/body1.png,False,spoked,1.5,./images/eyes/character_9/side_eyes/spoked_2/spoked_2_R.png,0,./images/head/character_9/R.png,./images/background/plain/character_9/wall.png,9sadnanspoked_2_RTrueRRplainplainwallmebody10m_b_close_s1.5
4,4,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,./images/body/character_9/me/body1.png,False,spoked,1.5,./images/eyes/character_9/side_eyes/spoked_2/spoked_2_R.png,0,./images/head/character_9/R.png,./images/background/plain/character_9/wall.png,9sadnanspoked_2_RTrueRRplainplainwallmebody10m_b_close_s1.5
5,5,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,./images/body/character_9/me/body1.png,False,spoked,1.5,./images/eyes/character_9/side_eyes/spoked_2/spoked_2_R.png,0,./images/head/character_9/R.png,./images/background/plain/character_9/wall.png,9sadnanspoked_2_RTrueRRplainplainwallmebody10m_b_close_s1.5
6,6,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,./images/body/character_9/me/body1.png,False,spoked,1.5,./images/eyes/character_9/side_eyes/spoked_2/spoked_2_R.png,0,./images/head/character_9/R.png,./images/background/plain/character_9/wall.png,9sadnanspoked_2_RTrueRRplainplainwallmebody10m_b_close_s1.5
7,7,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,./images/body/character_9/me/body1.png,False,spoked,1.5,./images/eyes/character_9/side_eyes/spoked_2/spoked_2_R.png,0,./images/head/character_9/R.png,./images/background/plain/character_9/wall.png,9sadnanspoked_2_RTrueRRplainplainwallmebody10m_b_close_s1.5
8,8,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,./images/body/character_9/me/body1.png,False,spoked,1.5,./images/eyes/character_9/side_eyes/spoked_2/spoked_2_R.png,0,./images/head/character_9/R.png,./images/background/plain/character_9/wall.png,9sadnanspoked_2_RTrueRRplainplainwallmebody10m_b_close_s1.5
9,9,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,./images/body/character_9/me/body1.png,False,spoked,1.5,./images/eyes/character_9/side_eyes/spoked_2/spoked_2_R.png,0,./images/head/character_9/R.png,./images/background/plain/character_9/wall.png,9sadnanspoked_2_RTrueRRplainplainwallmebody10m_b_close_s1.5
10,10,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,./images/body/character_9/me/body1.png,False,spoked,1.5,./images/eyes/character_9/side_eyes/spoked_2/spoked_2_R.png,0,./images/head/character_9/R.png,./images/background/plain/character_9/wall.png,9sadnanspoked_2_RTrueRRplainplainwallmebody10m_b_close_s1.5
11,11,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,./images/body/character_9/me/body1.png,False,spoked,1.5,./images/eyes/character_9/side_eyes/spoked_2/spoked_2_R.png,0,./images/head/character_9/R.png,./images/background/plain/character_9/wall.png,9sadnanspoked_2_RTrueRRplainplainwallmebody10m_b_close_s1.5
12,12,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,./images/body/character_9/me/body1.png,False,spoked,1.5,./images/eyes/character_9/side_eyes/spoked_2/spoked_2_R.png,0,./images/head/character_9/R.png,./images/background/plain/character_9/wall.png,9sadnanspoked_2_RTrueRRplainplainwallmebody10m_b_close_s1.5
13,13,9,sad,,not_blinking,spoked,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,R,plain,plain,wall,me,./images/body/character_9/me/body1.png,False,spoked,1.5,./images/eyes/character_9/side_eyes/spoked_2/spoked_2_R.png,0,./images/head/character_9/R.png,./images/background/plain/character_9/wall.png,9sadnanspoked_2_RTrueRRplainplainwallmebody10m_b_close_s1.5
14,14,9,glare,HH,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,hi,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareHHglare_2_RTrueRLplainplainwalltechnicalbody350d_j_ch_s1.5
15,15,9,glare,HH,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,hi,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareHHglare_2_RTrueRLplainplainwalltechnicalbody350d_j_ch_s1.5
16,16,9,glare,HH,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,hi,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareHHglare_2_RTrueRLplainplainwalltechnicalbody350d_j_ch_s1.5
17,17,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,hi,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAY1glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
18,18,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,hi,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAY1glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
19,19,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,hi,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAY1glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
20,20,9,glare,G,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,guys,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareGglare_2_RTrueRLplainplainwalltechnicalbody350d_j_ch_s1.5
21,21,9,glare,G,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,guys,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareGglare_2_RTrueRLplainplainwalltechnicalbody350d_j_ch_s1.5
22,22,9,glare,G,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,guys,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareGglare_2_RTrueRLplainplainwalltechnicalbody350d_j_ch_s1.5
